Date : 2023-08-02 16:22:39
Directory : f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui
Total : 292 files,  234932 codes, 504 comments, 871 blanks, all 236307 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\expressions\F02.exp3.json                               | JSON       |         35 |          0 |          0 |         35 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\expressions\F03.exp3.json                               | JSON       |         55 |          0 |          0 |         55 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\expressions\F04.exp3.json                               | JSON       |         60 |          0 |          0 |         60 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\expressions\F05.exp3.json                               | JSON       |         35 |          0 |          0 |         35 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\expressions\F06.exp3.json                               | JSON       |         35 |          0 |          0 |         35 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\expressions\F07.exp3.json                               | JSON       |         65 |          0 |          0 |         65 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\expressions\F08.exp3.json                               | JSON       |         30 |          0 |          0 |         30 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_idle.motion3.json                        | JSON       |      2,260 |          0 |          0 |      2,260 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m01.motion3.json                         | JSON       |      1,189 |          0 |          0 |      1,189 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m02.motion3.json                         | JSON       |      1,214 |          0 |          0 |      1,214 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m03.motion3.json                         | JSON       |      1,735 |          0 |          0 |      1,735 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m04.motion3.json                         | JSON       |      2,484 |          0 |          0 |      2,484 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m05.motion3.json                         | JSON       |      1,441 |          0 |          0 |      1,441 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m06.motion3.json                         | JSON       |      1,539 |          0 |          0 |      1,539 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m07.motion3.json                         | JSON       |      1,497 |          0 |          0 |      1,497 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m08.motion3.json                         | JSON       |      1,581 |          0 |          0 |      1,581 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m09.motion3.json                         | JSON       |      2,691 |          0 |          0 |      2,691 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m10.motion3.json                         | JSON       |      3,706 |          0 |          0 |      3,706 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m11.motion3.json                         | JSON       |      1,455 |          0 |          0 |      1,455 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m12.motion3.json                         | JSON       |      2,352 |          0 |          0 |      2,352 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m13.motion3.json                         | JSON       |      1,133 |          0 |          0 |      1,133 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m14.motion3.json                         | JSON       |      2,176 |          0 |          0 |      2,176 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m15.motion3.json                         | JSON       |      1,357 |          0 |          0 |      1,357 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m16.motion3.json                         | JSON       |      1,917 |          0 |          0 |      1,917 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m17.motion3.json                         | JSON       |      1,637 |          0 |          0 |      1,637 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m18.motion3.json                         | JSON       |      1,343 |          0 |          0 |      1,343 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m19.motion3.json                         | JSON       |      1,105 |          0 |          0 |      1,105 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m20.motion3.json                         | JSON       |      2,477 |          0 |          0 |      2,477 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m21.motion3.json                         | JSON       |      2,568 |          0 |          0 |      2,568 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m22.motion3.json                         | JSON       |      2,964 |          0 |          0 |      2,964 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m23.motion3.json                         | JSON       |      1,721 |          0 |          0 |      1,721 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m24.motion3.json                         | JSON       |      1,854 |          0 |          0 |      1,854 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m25.motion3.json                         | JSON       |      1,805 |          0 |          0 |      1,805 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\motions\haru_g_m26.motion3.json                         | JSON       |      2,470 |          0 |          0 |      2,470 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\Hiyori.cdi3.json                                      | JSON       |        523 |          0 |          0 |        523 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\Hiyori.model3.json                                    | JSON       |         93 |          0 |          0 |         93 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\Hiyori.physics3.json                                  | JSON       |      1,569 |          0 |          0 |      1,569 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\Hiyori.pose3.json                                     | JSON       |         16 |          0 |          0 |         16 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\Hiyori.userdata3.json                                 | JSON       |         44 |          0 |          0 |         44 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\motions\Hiyori_m01.motion3.json                       | JSON       |      1,085 |          0 |          0 |      1,085 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\motions\Hiyori_m02.motion3.json                       | JSON       |      1,478 |          0 |          0 |      1,478 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\motions\Hiyori_m03.motion3.json                       | JSON       |      1,331 |          0 |          0 |      1,331 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\motions\Hiyori_m04.motion3.json                       | JSON       |        882 |          0 |          0 |        882 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\motions\Hiyori_m05.motion3.json                       | JSON       |      1,670 |          0 |          0 |      1,670 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\motions\Hiyori_m06.motion3.json                       | JSON       |      1,990 |          0 |          0 |      1,990 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\motions\Hiyori_m07.motion3.json                       | JSON       |        991 |          0 |          0 |        991 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\motions\Hiyori_m08.motion3.json                       | JSON       |      1,087 |          0 |          0 |      1,087 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\motions\Hiyori_m09.motion3.json                       | JSON       |      1,198 |          0 |          0 |      1,198 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Hiyori\motions\Hiyori_m10.motion3.json                       | JSON       |        974 |          0 |          0 |        974 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\Mao.cdi3.json                                            | JSON       |        783 |          0 |          0 |        783 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\Mao.model3.json                                          | JSON       |         95 |          0 |          0 |         95 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\Mao.physics3.json                                        | JSON       |      1,361 |          0 |          0 |      1,361 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\Mao.pose3.json                                           | JSON       |         25 |          0 |          0 |         25 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\expressions\exp_01.exp3.json                             | JSON       |        147 |          0 |          0 |        147 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\expressions\exp_02.exp3.json                             | JSON       |        147 |          0 |          0 |        147 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\expressions\exp_03.exp3.json                             | JSON       |        147 |          0 |          0 |        147 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\expressions\exp_04.exp3.json                             | JSON       |        147 |          0 |          0 |        147 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\expressions\exp_05.exp3.json                             | JSON       |        147 |          0 |          0 |        147 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\expressions\exp_06.exp3.json                             | JSON       |        147 |          0 |          0 |        147 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\expressions\exp_07.exp3.json                             | JSON       |        147 |          0 |          0 |        147 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\expressions\exp_08.exp3.json                             | JSON       |        147 |          0 |          0 |        147 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\motions\mtn_01.motion3.json                              | JSON       |      2,135 |          0 |          0 |      2,135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\motions\mtn_02.motion3.json                              | JSON       |      2,117 |          0 |          0 |      2,117 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\motions\mtn_03.motion3.json                              | JSON       |      1,987 |          0 |          0 |      1,987 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\motions\mtn_04.motion3.json                              | JSON       |      2,446 |          0 |          0 |      2,446 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\motions\special_01.motion3.json                          | JSON       |      3,213 |          0 |          0 |      3,213 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mao\motions\special_02.motion3.json                          | JSON       |      4,030 |          0 |          0 |      4,030 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mark\Mark.cdi3.json                                          | JSON       |        181 |          0 |          0 |        181 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mark\Mark.model3.json                                        | JSON       |         62 |          0 |          0 |         62 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mark\Mark.physics3.json                                      | JSON       |        137 |          0 |          0 |        137 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mark\Mark.userdata3.json                                     | JSON       |         34 |          0 |          0 |         34 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mark\motions\mark_m01.motion3.json                           | JSON       |      3,085 |          0 |          0 |      3,085 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mark\motions\mark_m02.motion3.json                           | JSON       |      2,060 |          0 |          0 |      2,060 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mark\motions\mark_m03.motion3.json                           | JSON       |        923 |          0 |          0 |        923 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mark\motions\mark_m04.motion3.json                           | JSON       |      1,664 |          0 |          0 |      1,664 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mark\motions\mark_m05.motion3.json                           | JSON       |      1,391 |          0 |          0 |      1,391 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Mark\motions\mark_m06.motion3.json                           | JSON       |        857 |          0 |          0 |        857 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\Natori.cdi3.json                                      | JSON       |        677 |          0 |          0 |        677 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\Natori.model3.json                                    | JSON       |        115 |          0 |          1 |        116 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\Natori.physics3.json                                  | JSON       |        966 |          0 |          0 |        966 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\Natori.pose3.json                                     | JSON       |         44 |          0 |          0 |         44 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\Angry.exp3.json                                   | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\Blushing.exp3.json                                | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\Normal.exp3.json                                  | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\Sad.exp3.json                                     | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\Smile.exp3.json                                   | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\Surprised.exp3.json                               | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\exp_01.exp3.json                                  | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\exp_02.exp3.json                                  | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\exp_03.exp3.json                                  | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\exp_04.exp3.json                                  | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\exp\exp_05.exp3.json                                  | JSON       |        135 |          0 |          0 |        135 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\motions\mtn_00.motion3.json                           | JSON       |      1,477 |          0 |          0 |      1,477 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\motions\mtn_01.motion3.json                           | JSON       |      2,004 |          0 |          0 |      2,004 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\motions\mtn_02.motion3.json                           | JSON       |      2,236 |          0 |          0 |      2,236 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\motions\mtn_03.motion3.json                           | JSON       |      2,650 |          0 |          0 |      2,650 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\motions\mtn_04.motion3.json                           | JSON       |      2,370 |          0 |          0 |      2,370 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\motions\mtn_05.motion3.json                           | JSON       |      2,399 |          0 |          0 |      2,399 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\motions\mtn_06.motion3.json                           | JSON       |      2,136 |          0 |          0 |      2,136 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Natori\motions\mtn_07.motion3.json                           | JSON       |      1,961 |          0 |          0 |      1,961 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Rice\Rice.cdi3.json                                          | JSON       |        679 |          0 |          0 |        679 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Rice\Rice.model3.json                                        | JSON       |         51 |          0 |          1 |         52 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Rice\Rice.physics3.json                                      | JSON       |      1,508 |          0 |          0 |      1,508 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Rice\motions\idle.motion3.json                               | JSON       |      1,003 |          0 |          0 |      1,003 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Rice\motions\mtn_01.motion3.json                             | JSON       |      2,428 |          0 |          0 |      2,428 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Rice\motions\mtn_02.motion3.json                             | JSON       |      1,386 |          0 |          0 |      1,386 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Rice\motions\mtn_03.motion3.json                             | JSON       |      2,231 |          0 |          0 |      2,231 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\drawing\drawing1.cdi3.json                                   | JSON       |        410 |          0 |          0 |        410 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\drawing\drawing1.model3.json                                 | JSON       |         24 |          0 |          0 |         24 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\drawing\drawing1.physics3.json                               | JSON       |      1,215 |          0 |          0 |      1,215 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\drawing\drawing1.vtube.json                                  | JSON       |        389 |          0 |          0 |        389 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\drawing\items_pinned_to_model.json                           | JSON       |         14 |          0 |          0 |         14 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\ARKitFaceTrackerSettingBeta.json                             | JSON       |        211 |          0 |          1 |        212 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\cc_llny.cfg                                                  | Properties |         14 |          0 |         18 |         32 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\- -.exp3.json                                    | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\口罩.exp3.json                                     | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\吐舌.exp3.json                                     | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\哭.exp3.json                                      | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\外套.exp3.json                                     | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\星星.exp3.json                                     | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\比心.exp3.json                                     | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\水印.exp3.json                                     | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\生气.exp3.json                                     | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\眼镜.exp3.json                                     | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\脸红.exp3.json                                     | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\脸黑.exp3.json                                     | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\荷包蛋.exp3.json                                    | JSON       |         35 |          0 |          0 |         35 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\expressions\阿尼亚.exp3.json                                    | JSON       |         40 |          0 |          0 |         40 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\items_pinned_to_model.json                                   | JSON       |         14 |          0 |          0 |         14 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\llny.cdi3.json                                               | JSON       |      1,300 |          0 |          0 |      1,300 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\llny.model3.json                                             | JSON       |         85 |          0 |          0 |         85 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\llny.physics3.json                                           | JSON       |      5,142 |          0 |          0 |      5,142 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\llny.prprl2d.json                                            | JSON       |        474 |          0 |          1 |        475 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\llny.vtube.json                                              | JSON       |      1,478 |          0 |          0 |      1,478 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\姬萌\motions\idel.motion3.json                                    | JSON       |        213 |          0 |          0 |        213 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\layout\LayoutPage.vue                                              | Vue        |        375 |         36 |         35 |        446 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\live2D\Live2D.vue                                                  | Vue        |        227 |         84 |         35 |        346 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\about\ProjectDocument.vue                                     | Vue        |         13 |          0 |          3 |         16 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\about\ProjectInformation.vue                                  | Vue        |          8 |          0 |          2 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\about\WelcomeContribution.vue                                 | Vue        |          8 |          0 |          2 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\ai-tool\ChatGPT.vue                                           | Vue        |          8 |          0 |          2 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\ai-tool\FaceRecognition.vue                                   | Vue        |          8 |          0 |          2 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\api-open-platform\MapAPI.vue                                  | Vue        |          8 |          0 |          2 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\api-open-platform\WeaTher.vue                                 | Vue        |          8 |          0 |          2 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\authority\AdministratorUser.vue                               | Vue        |          8 |          0 |          2 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\authority\CommonUser.vue                                      | Vue        |          8 |          0 |          2 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\dashboard\DataAnalysis.vue                                    | Vue        |        244 |          9 |         21 |        274 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\dashboard\WorkBench.vue                                       | Vue        |        286 |          7 |         17 |        310 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\dashboard\dateAnalysis-charts\DateBarChart.vue                | Vue        |        114 |          4 |         11 |        129 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\dashboard\dateAnalysis-charts\DateCirclePie.vue               | Vue        |         77 |          2 |         10 |         89 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\components\menu\dashboard\dateAnalysis-charts\DateLineChart.vue               | Vue        |        198 |          4 |         12 |        214 |
